0.0, 19, dryer, 12.5, iye86, busy
0.0, 16, dryer, 12.5, zue41, busy
6.25, 4, washer, 6.25, pcr25, busy
6.25, 14, washer, 6.25, ryo45, busy
6.25, 5, dryer, 12.5, vyx95, busy
12.5, 8, dryer, 12.5, jjp53, busy
12.5, 16, dryer, 12.5, xlp89, busy
18.75, 6, dryer, 12.5, eqt99, busy
18.75, 20, dryer, 12.5, kbt20, busy
18.75, 18, dryer, 12.5, ojc34, busy
25.0, 18, dryer, 12.5, bnj83, busy
25.0, 12, washer, 6.25, efj99, busy
25.0, 10, dryer, 12.5, gap62, busy
25.0, 6, dryer, 12.5, vmm56, busy
25.0, 12, washer, 6.25, wes24, busy
31.25, 3, washer, 6.25, ciq85, busy
31.25, 1, washer, 6.25, mbg56, busy
31.25, 2, washer, 6.25, ydu97, busy
37.5, 1, washer, 6.25, rry12, busy
43.75, 9, dryer, 12.5, ayt73, busy
43.75, 15, dryer, 12.5, chp69, busy
43.75, 2, washer, 6.25, eem89, busy
50.0, 19, dryer, 12.5, dir83, busy
50.0, 14, washer, 75.0, ---, ooo
56.25, 18, dryer, 12.5, kdk98, busy
56.25, 10, dryer, 12.5, vau11, busy
56.25, 20, dryer, 75.0, ---, ooo
62.5, 15, dryer, 12.5, cyq07, busy
62.5, 6, dryer, 12.5, npe49, busy
62.5, 11, washer, 6.25, oby30, busy
62.5, 8, dryer, 12.5, poq40, busy
62.5, 12, washer, 75.0, ---, ooo
68.75, 12, washer, 6.25, oof56, busy
68.75, 20, dryer, 12.5, xhl95, busy
75.0, 12, washer, 75.0, ---, ooo
75.0, 14, washer, 6.25, ywk77, busy
81.25, 13, washer, 6.25, fut98, busy
81.25, 1, washer, 6.25, odo04, busy
81.25, 13, washer, 6.25, omn35, busy
81.25, 15, dryer, 12.5, qyy24, busy
81.25, 10, dryer, 12.5, uub14, busy
87.5, 18, dryer, 12.5, hmg26, busy
87.5, 11, washer, 6.25, rth37, busy
87.5, 4, washer, 6.25, uyu24, busy
93.75, 7, dryer, 12.5, dvc03, busy
93.75, 16, dryer, 12.5, eqn50, busy
93.75, 12, washer, 6.25, nvp38, busy
93.75, 10, dryer, 12.5, vsl17, busy
106.25, 11, washer, 6.25, elj43, busy
106.25, 18, dryer, 12.5, hdq39, busy
106.25, 9, dryer, 12.5, iac85, busy
106.25, 3, washer, 6.25, iuc11, busy
106.25, 5, dryer, 12.5, ohv71, busy
106.25, 15, dryer, 12.5, pqv78, busy
106.25, 18, dryer, 12.5, vlo54, busy
106.25, 7, dryer, 12.5, xlg09, busy
112.5, 18, dryer, 12.5, ber43, busy
112.5, 14, washer, 6.25, cny49, busy
112.5, 3, washer, 6.25, kml79, busy
112.5, 11, washer, 6.25, qej70, busy
112.5, 3, washer, 6.25, xux64, busy
118.75, 2, washer, 6.25, anz93, busy
118.75, 4, washer, 6.25, kak80, busy
118.75, 4, washer, 6.25, lpq45, busy
118.75, 18, dryer, 12.5, oxo13, busy
