0.0, 128, dryer, 12.5, ibn40, busy
0.0, 121, washer, 6.25, vwf33, busy
12.5, 138, dryer, 12.5, dqe14, busy
12.5, 132, washer, 6.25, gbd98, busy
12.5, 128, dryer, 12.5, jrx57, busy
12.5, 127, dryer, 12.5, xbe21, busy
18.75, 138, dryer, 12.5, ewa36, busy
18.75, 140, dryer, 12.5, flc85, busy
18.75, 121, washer, 6.25, ius88, busy
18.75, 139, dryer, 12.5, piw42, busy
25.0, 132, washer, 6.25, cpi70, busy
25.0, 129, dryer, 12.5, ncq97, busy
25.0, 137, dryer, 12.5, rto37, busy
25.0, 136, dryer, 12.5, swy21, busy
31.25, 128, dryer, 12.5, xuz77, busy
37.5, 123, washer, 6.25, ksf30, busy
37.5, 121, washer, 6.25, nty82, busy
37.5, 139, dryer, 75.0, ---, ooo
37.5, 136, dryer, 12.5, vfe25, busy
43.75, 122, washer, 6.25, bcy24, busy
43.75, 137, dryer, 12.5, oyx37, busy
43.75, 126, dryer, 12.5, spk89, busy
43.75, 138, dryer, 12.5, usm61, busy
50.0, 131, washer, 6.25, fgb91, busy
50.0, 129, dryer, 12.5, num88, busy
50.0, 122, washer, 6.25, pnq97, busy
56.25, 132, washer, 6.25, etd65, busy
56.25, 132, washer, 6.25, qyy36, busy
56.25, 133, washer, 6.25, uuh73, busy
62.5, 136, dryer, 12.5, sqc33, busy
62.5, 131, washer, 6.25, stn80, busy
68.75, 131, washer, 6.25, qvp26, busy
75.0, 134, washer, 6.25, bim26, busy
75.0, 125, dryer, 12.5, esq77, busy
75.0, 127, dryer, 12.5, fap25, busy
75.0, 127, dryer, 12.5, jii16, busy
75.0, 121, washer, 6.25, lby72, busy
75.0, 140, dryer, 12.5, sid87, busy
75.0, 121, washer, 6.25, tzh44, busy
81.25, 135, dryer, 12.5, itd07, busy
87.5, 132, washer, 6.25, dpt88, busy
93.75, 132, washer, 6.25, von81, busy
106.25, 126, dryer, 75.0, ---, ooo
106.25, 134, washer, 6.25, zmt28, busy
112.5, 127, dryer, 12.5, hmy45, busy
112.5, 122, washer, 6.25, rnt42, busy
112.5, 139, dryer, 75.0, ---, available
